id,year,gender,jobtenure,pos,procjust,valuefit,sickdays,jobsat,distjust,jobstrain,perf,training,pos_l1,perf_l1,procjust_l1,valuefit_l1,sickdays_l1,jobsat_l1,distjust_l1,jobstrain_l1,training_l1
414,2015,1,9,3.5,4,3.6700001,0,1.4000001,4.3299999,5,2.4000001,0,3,3,3.25,4,,2.5500002,4.6700001,3.6700001,0
414,2016,1,10,3.25,3.5,4,0,2.5,4,4.3299999,3.0999999,0,3.5,2,4,3.6700001,0,1.4000001,4.3299999,5,0
415,2014,1,15,3.25,4,4.3299999,,2.27,5,2,5.0999999,1,,,,,,,,,
415,2015,1,16,2.5,3.5,4,0,1.0999999,5.3299999,3.9400001,3.2,0,3.25,5,4,4.3299999,,2.27,5,2,1
415,2016,1,17,1.75,4,3,0,1.5,5,4.3299999,2.2,1,2.5,3,3.5,4,0,1.0999999,5.3299999,3.9400001,0
416,2014,1,12,2.5,3.75,4.6700001,,2.1799998,4.6700001,2.6700001,2.5,0,,,,,,,,,
416,2015,1,13,2,4,4,0,1.0999999,5,5,3.9000001,0,2.5,2,3.75,4.6700001,,2.1799998,4.6700001,2.6700001,0
416,2016,1,14,2.5,3.75,4,2,2.5,5,4.3299999,3.5,0,2,3,4,4,0,1.0999999,5,5,0
417,2014,1,11,3,4,4,,1.27,4,1,3.2,0,,,,,,,,,
417,2015,1,12,2.75,4,3.3299999,1,0,4.3299999,3.6700001,1.3,0,3,3,4,4,,1.27,4,1,0
417,2016,1,13,3,4,3,2,1.5999999,4.3299999,4,4,1,2.75,1,4,3.3299999,1,0,4.3299999,3.6700001,0
418,2014,1,2,4,4,4,,.90999985,3,2,3.9000001,0,,,,,,,,,
418,2015,1,3,4,3.75,4.3299999,3,2.1999998,3.6700001,3,3.2,1,4,3,4,4,,.90999985,3,2,0
418,2016,1,4,4.75,3.5,5,0,1.9000001,3.6700001,3.6700001,3.0999999,0,4,3,3.75,4.3299999,3,2.1999998,3.6700001,3,1
419,2014,1,17,3,3,3.6700001,,2.27,4,1.33,3.4000001,0,,,,,,,,,
419,2015,1,18,2,3,4.6700001,16,1,3.6700001,1.33,2.9000001,1,3,3,3,3.6700001,,2.27,4,1.33,0
419,2016,1,19,2.75,2.5,3.3299999,1,3.2,3,1,2.0999999,1,2,2,3,4.6700001,16,1,3.6700001,1.33,1
420,2014,1,2,3,4,4,,2.4499998,4,4,4.0999999,1,,,,,,,,,
420,2015,1,3,3.25,4.25,3.3299999,0,1.3000002,4.3299999,4.6700001,3.4000001,0,3,4,4,4,,2.4499998,4,4,1
420,2016,1,4,3.5,4.25,4,28,2.1999998,4.6700001,4.3299999,2.8,1,3.25,3,4.25,3.3299999,0,1.3000002,4.3299999,4.6700001,0
421,2014,1,11,4,4,4,,1,3,2,4,1,,,,,,,,,
421,2015,1,12,3.25,4.25,4,0,2.3000002,3.3299999,4.6700001,4.9000001,1,4,4,4,4,,1,3,2,1
421,2016,1,13,3.75,5,4.6700001,0,1.5999999,4,4.6700001,4.8000002,1,3.25,4,4.25,4,0,2.3000002,3.3299999,4.6700001,1
